time	V(vout1)	V(vout2)	I(C1)	I(C2)
5.120697813274872e-01	4.970219e+00	1.845490e+00	2.978078e-06	7.725508e-06
5.215563884703442e-01	4.972844e+00	1.852604e+00	2.715637e-06	7.369789e-06
5.313220134703442e-01	4.975323e+00	1.859591e+00	2.467705e-06	7.020431e-06
5.410876384703442e-01	4.977616e+00	1.866282e+00	2.238379e-06	6.685925e-06
5.508532634703442e-01	4.979723e+00	1.872675e+00	2.027660e-06	6.366271e-06
5.606188884703442e-01	4.981644e+00	1.878771e+00	1.835546e-06	6.061469e-06
5.703845134703442e-01	4.983380e+00	1.884570e+00	1.662040e-06	5.771520e-06
5.801501384703442e-01	4.984928e+00	1.890072e+00	1.507139e-06	5.496422e-06
5.899157634703442e-01	4.986291e+00	1.895277e+00	1.370845e-06	5.236176e-06
6.002394241846299e-01	4.987608e+00	1.900514e+00	1.239159e-06	4.974292e-06
6.105630848989156e-01	4.988822e+00	1.905518e+00	1.117780e-06	4.724089e-06
6.208867456132015e-01	4.989933e+00	1.910289e+00	1.006708e-06	4.485569e-06
6.312104063274872e-01	4.990940e+00	1.914825e+00	9.059423e-07	4.258730e-06
6.415340670417728e-01	4.991845e+00	1.919129e+00	8.154840e-07	4.043573e-06
6.518577277560585e-01	4.992647e+00	1.923198e+00	7.353326e-07	3.840098e-06
6.621813884703442e-01	4.993345e+00	1.927034e+00	6.654881e-07	3.648305e-06
6.737606295417728e-01	4.994055e+00	1.931109e+00	5.945575e-07	3.444567e-06
6.853398706132015e-01	4.994704e+00	1.934983e+00	5.296702e-07	3.250855e-06
6.969191116846299e-01	4.995292e+00	1.938657e+00	4.708263e-07	3.067167e-06
7.084983527560585e-01	4.995820e+00	1.942130e+00	4.180257e-07	2.893505e-06
7.200775938274872e-01	4.996287e+00	1.945403e+00	3.712685e-07	2.729867e-06
7.316568348989156e-01	4.996695e+00	1.948475e+00	3.305545e-07	2.576255e-06
7.432360759703442e-01	4.997041e+00	1.951347e+00	2.958840e-07	2.432668e-06
7.571869688274872e-01	4.997413e+00	1.954591e+00	2.586885e-07	2.270436e-06
7.711378616846299e-01	4.997749e+00	1.957649e+00	2.251080e-07	2.117530e-06
7.850887545417728e-01	4.998048e+00	1.960521e+00	1.951425e-07	1.973949e-06
7.990396473989156e-01	4.998312e+00	1.963206e+00	1.687920e-07	1.839693e-06
8.129905402560585e-01	4.998539e+00	1.965705e+00	1.460564e-07	1.714763e-06
8.269414331132015e-01	4.998731e+00	1.968017e+00	1.269357e-07	1.599158e-06
8.408923259703442e-01	4.998886e+00	1.970142e+00	1.114301e-07	1.492878e-06
8.600050491846299e-01	4.999068e+00	1.972815e+00	9.316230e-08	1.359270e-06
8.791177723989156e-01	4.999229e+00	1.975290e+00	7.706991e-08	1.235524e-06
8.982304956132015e-01	4.999368e+00	1.977567e+00	6.315292e-08	1.121639e-06
9.173432188274872e-01	4.999486e+00	1.979648e+00	5.141130e-08	1.017617e-06
9.364559420417728e-01	4.999581e+00	1.981531e+00	4.184508e-08	9.234573e-07
9.555686652560585e-01	4.999655e+00	1.983217e+00	3.445424e-08	8.391595e-07
9.746813884703442e-01	4.999708e+00	1.984705e+00	2.923878e-08	7.647238e-07
9.795642009703442e-01	4.999722e+00	1.985074e+00	2.784539e-08	7.462799e-07
9.990954509703442e-01	4.999771e+00	1.986463e+00	2.290492e-08	6.768460e-07
1.000000000000000e+00	4.999773e+00	1.986524e+00	2.269816e-08	6.737880e-07
